rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
3,probucol,approved_library,5UGC,EGFR,L858R+T790M,-2.81,-7.09513,1.95463,0.10607,7.16139
3,procaine,approved_library,3POZ,EGFR,WT,-0.97,-5.3088,2.20775,0.39802,4.32059
3,procaine,approved_library,5UGC,EGFR,L858R+T790M,0.05,-6.32746,1.10811,0.71755,4.41654
3,promazine,approved_library,3POZ,EGFR,WT,-0.62,-3.60592,0.64027,0.3107,5.57021
3,promazine,approved_library,5UGC,EGFR,L858R+T790M,-0.57,-6.15013,2.31389,0.2829,5.54434
3,promethazine,approved_library,3POZ,EGFR,WT,-0.25,-7.25215,0.95489,0.7267,6.20185
3,promethazine,approved_library,5UGC,EGFR,L858R+T790M,-0.46,-6.59997,1.29793,0.26331,5.49404
3,rimonabant,approved_library,3POZ,EGFR,WT,-0.9,-7.13024,1.49045,0.34459,7.24372
3,rimonabant,approved_library,5UGC,EGFR,L858R+T790M,-1.27,-8.54459,3.10301,0.28839,7.03697
3,rofecoxib,approved_library,3POZ,EGFR,WT,-0.53,-8.249,0.74824,0.49426,5.24458
3,rofecoxib,approved_library,5UGC,EGFR,L858R+T790M,-0.4,-9.41341,2.37657,0.87432,6.1349
3,sertindole,approved_library,3POZ,EGFR,WT,-0.64,-6.6606,2.61878,0.45017,6.85715
3,sertindole,approved_library,5UGC,EGFR,L858R+T790M,-0.91,-7.95677,2.81517,0.11753,6.09411
3,temafloxacin,approved_library,3POZ,EGFR,WT,-0.26,-10.21924,1.10386,0.23495,6.68488
3,temafloxacin,approved_library,5UGC,EGFR,L858R+T790M,0.36,-9.81141,1.08733,0.64296,7.5156
3,tribromsalan,approved_library,3POZ,EGFR,WT,-0.51,-4.80558,1.19829,0.36805,6.06638
3,tribromsalan,approved_library,5UGC,EGFR,L858R+T790M,-0.46,-7.11223,2.24435,0.468,6.23187
3,trifluoperazine,approved_library,3POZ,EGFR,WT,-0.82,-6.57021,1.09712,0.05713,5.97319
3,trifluoperazine,approved_library,5UGC,EGFR,L858R+T790M,-1.51,-7.05792,1.97433,0.11313,5.83285
4,amitriptyline,approved_library,3POZ,EGFR,WT,-0.59,-4.12789,1.54921,0.25269,5.45186
4,amitriptyline,approved_library,5UGC,EGFR,L858R+T790M,-0.52,-8.60582,0.86311,0.34134,5.34997
4,apomorphine,approved_library,3POZ,EGFR,WT,0.63,-9.46781,0.49884,0.78866,5.68168
4,apomorphine,approved_library,5UGC,EGFR,L858R+T790M,-0.08,-6.93398,0.59917,0.36889,5.7475
4,bromazepam,approved_library,3POZ,EGFR,WT,-0.15,-5.4114,1.13726,0.66269,6.28987
4,bromazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.03,-7.56495,2.16054,0.89638,6.75722
4,bromocriptine,approved_library,3POZ,EGFR,WT,-1.14,-5.38838,3.43075,0.02783,6.62547
4,bromocriptine,approved_library,5UGC,EGFR,L858R+T790M,-2.57,-7.55647,4.2089,0.01573,5.71189
4,cefprozil-anhydrous-e,approved_library,3POZ,EGFR,WT,-1.24,-5.05261,1.88055,0.10246,5.17419
4,cefprozil-anhydrous-e,approved_library,5UGC,EGFR,L858R+T790M,-0.67,-7.24246,2.32868,0.04677,5.19168
4,chlorpromazine,approved_library,3POZ,EGFR,WT,-0.6,-3.37328,0.7484,0.27081,5.7544
4,chlorpromazine,approved_library,5UGC,EGFR,L858R+T790M,-1.05,-6.13696,2.52977,0.21534,5.576
4,citalopram,approved_library,3POZ,EGFR,WT,-0.36,-6.11058,1.2884,0.60693,6.26869
4,citalopram,approved_library,5UGC,EGFR,L858R+T790M,-0.86,-7.90169,1.23048,0.34625,5.64903
4,clomipramine,approved_library,3POZ,EGFR,WT,-1.06,-7.16273,3.15771,0.2515,5.77716
4,clomipramine,approved_library,5UGC,EGFR,L858R+T790M,-0.56,-8.30061,1.06208,0.81261,6.43912
4,clonazepam,approved_library,3POZ,EGFR,WT,-0.41,-7.71402,1.21855,0.77297,6.61007
4,clonazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.08,-7.95456,0.84969,0.95062,6.90816
4,cyproheptadine,approved_library,3POZ,EGFR,WT,-0.53,-8.94331,2.66887,0.05001,4.1285
4,cyproheptadine,approved_library,5UGC,EGFR,L858R+T790M,-0.71,-7.30587,1.32819,0.24075,5.74009
4,diazepam,approved_library,3POZ,EGFR,WT,-0.11,-7.42582,1.57478,0.33807,5.53298
4,diazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.76,0.8539,3.21112,0.17862,4.39831
4,ergotamine,approved_library,3POZ,EGFR,WT,-1.94,6.94796,1.88833,0.04769,6.38251
4,ergotamine,approved_library,5UGC,EGFR,L858R+T790M,-1.54,-9.7292,2.52329,0.18583,6.78079
4,fenoldopam,approved_library,3POZ,EGFR,WT,0.63,-9.22201,0.51816,0.7291,5.8875
4,fenoldopam,approved_library,5UGC,EGFR,L858R+T790M,0.48,-9.23157,0.69574,0.84222,6.37309
4,fluoxetine,approved_library,3POZ,EGFR,WT,-0.54,-7.67421,1.04414,0.52791,5.33438
4,fluoxetine,approved_library,5UGC,EGFR,L858R+T790M,-0.6,-7.84391,1.05363,0.36391,5.35143
4,gemfibrozil,approved_library,3POZ,EGFR,WT,-1.04,-6.80777,1.77145,0.26121,4.99531
4,gemfibrozil,approved_library,5UGC,EGFR,L858R+T790M,-1.21,-6.97528,2.51372,0.37309,4.98914
4,gemifloxacin,approved_library,3POZ,EGFR,WT,-0.06,-7.46622,1.56938,0.74596,7.06898
4,gemifloxacin,approved_library,5UGC,EGFR,L858R+T790M,-0.25,-8.05654,1.7427,0.4408,7.00722
4,indinavir-anhydrous,approved_library,3POZ,EGFR,WT,-1.58,-6.43796,2.56173,0.06213,6.32193
4,indinavir-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,-3.71,-7.13367,2.06574,0.13287,6.88635
4,levofloxacin-anhydrous,approved_library,3POZ,EGFR,WT,0.19,-7.38263,0.80115,0.75275,6.65398
4,levofloxacin-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,0.49,-9.05938,1.70444,0.65816,6.68201
4,levorphanol,approved_library,3POZ,EGFR,WT,-0.99,-6.75344,2.6914,0.13016,5.24293
