rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,sotorasib,known_answer,8A2B,EGFR,L858R,-2.31,-6.16856,9.65757,0.00414,5.73678
1,sotorasib,known_answer,8FMI,KRAS,WT,-2.71,-6.72714,2.98307,0.64537,7.32222
1,sunitinib,multi_kinase,3POZ,EGFR,WT,-1.17,-7.69506,3.17939,0.40787,7.06117
1,sunitinib,multi_kinase,4I24,EGFR,T790M,-0.45,-7.43849,0.82878,0.52214,7.21577
1,sunitinib,multi_kinase,4LDJ,KRAS,G12C,-1.55,-5.09373,1.52086,0.59001,5.92748
1,sunitinib,multi_kinase,5UGC,EGFR,L858R+T790M,-0.73,-7.76776,1.87837,0.6068,6.93254
1,sunitinib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-3.02,-0.97191,7.06918,0.26424,4.42537
1,sunitinib,multi_kinase,8A2B,EGFR,L858R,-1.15,-7.16443,1.61442,0.7786,6.78398
1,sunitinib,multi_kinase,8FMI,KRAS,WT,-1.19,-6.95911,1.7711,0.5131,6.25034
1,thalidomide,repurposing_candidate,3POZ,EGFR,WT,-0.44,-7.00328,2.47299,0.85882,5.60204
1,thalidomide,repurposing_candidate,4I24,EGFR,T790M,0.25,-7.60047,1.73919,0.81307,5.64933
1,thalidomide,repurposing_candidate,4LDJ,KRAS,G12C,-0.6,-4.79661,1.66958,0.56874,4.50576
1,thalidomide,repurposing_candidate,5UGC,EGFR,L858R+T790M,0.22,-7.13727,1.86708,0.69829,5.65996
1,thalidomide,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-4.69,-5.22848,4.54193,0.26146,3.84238
1,thalidomide,repurposing_candidate,8A2B,EGFR,L858R,0.16,-5.86668,2.08243,0.42378,5.14871
1,thalidomide,repurposing_candidate,8FMI,KRAS,WT,-0.4,-6.20122,0.36203,0.18478,4.27671
1,vandetanib,egfr_family,3POZ,EGFR,WT,-1.44,-8.12138,2.26122,0.66552,7.50945
1,vandetanib,egfr_family,4I24,EGFR,T790M,-0.02,-8.39685,0.75231,0.90364,7.63999
1,vandetanib,egfr_family,4LDJ,KRAS,G12C,-1.55,-6.93513,2.53441,0.40097,6.47994
1,vandetanib,egfr_family,5UGC,EGFR,L858R+T790M,-1.45,-6.48778,5.371,0.14717,6.19138
1,vandetanib,egfr_family,6OIM,KRAS,G12C+sotorasib,-1.59,-6.15264,1.53498,0.03545,5.09379
1,vandetanib,egfr_family,8A2B,EGFR,L858R,-0.04,-8.35352,0.69953,0.96184,7.51475
1,vandetanib,egfr_family,8FMI,KRAS,WT,-1.02,-6.76154,1.25122,0.32065,6.37222
1,verapamil,repurposing_candidate,3POZ,EGFR,WT,-1.46,-7.47939,1.38399,0.46174,7.08845
1,verapamil,repurposing_candidate,4I24,EGFR,T790M,-1.83,-3.27575,1.84344,0.2381,6.56122
1,verapamil,repurposing_candidate,4LDJ,KRAS,G12C,-2.87,-3.71721,1.96968,0.06386,4.1274
1,verapamil,repurposing_candidate,5UGC,EGFR,L858R+T790M,-2.49,-6.02275,1.869,0.16583,6.47259
1,verapamil,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-2.27,-5.81619,2.9851,0.4896,6.22106
1,verapamil,repurposing_candidate,8A2B,EGFR,L858R,-1.45,-6.70739,1.42156,0.19738,6.25289
1,verapamil,repurposing_candidate,8FMI,KRAS,WT,-3.09,-5.16338,2.24295,0.08448,4.89119
2,adagrasib,known_answer,3POZ,EGFR,WT,-2.06,-7.58259,1.73377,0.13367,7.92857
2,adagrasib,known_answer,4I24,EGFR,T790M,-2.91,-2.88354,4.24301,0.09459,7.04729
2,adagrasib,known_answer,4LDJ,KRAS,G12C,-3.51,-4.31516,2.34383,0.07765,5.92435
2,adagrasib,known_answer,5UGC,EGFR,L858R+T790M,-2.03,-8.39968,3.23929,0.07419,6.88292
2,adagrasib,known_answer,6OIM,KRAS,G12C+sotorasib,-2.04,-6.69447,2.00812,0.25537,7.01053
2,adagrasib,known_answer,8A2B,EGFR,L858R,-1.67,-6.71645,0.85119,0.21492,7.6178
2,adagrasib,known_answer,8FMI,KRAS,WT,-3.14,-4.91044,3.71152,0.07395,4.87662
2,afatinib,egfr_family,3POZ,EGFR,WT,-0.94,-8.27347,2.10174,0.50658,7.98912
2,afatinib,egfr_family,4I24,EGFR,T790M,0.09,-9.13258,1.16806,0.96502,8.29303
2,afatinib,egfr_family,4LDJ,KRAS,G12C,-2.31,-5.95694,2.58939,0.18913,6.3618
2,afatinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.54,-6.58554,3.52682,0.23205,7.14056
2,afatinib,egfr_family,6OIM,KRAS,G12C+sotorasib,-1.64,-6.19402,1.91028,0.13082,6.21469
2,afatinib,egfr_family,8A2B,EGFR,L858R,-0.24,-7.13325,1.29881,0.90147,7.79202
2,afatinib,egfr_family,8FMI,KRAS,WT,-1.81,-5.921,1.89086,0.56471,7.14391
2,aspirin,repurposing_candidate,3POZ,EGFR,WT,0.49,-6.51806,0.51967,0.84384,4.50941
2,aspirin,repurposing_candidate,4I24,EGFR,T790M,-0.23,-5.45362,2.32765,0.5507,4.01127
2,aspirin,repurposing_candidate,4LDJ,KRAS,G12C,-0.7,-4.85454,1.37767,0.80345,3.8049
2,aspirin,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.04,-5.59142,0.45578,0.7205,4.40075
2,aspirin,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-5.02,-3.24935,5.07088,0.31704,2.88239
2,aspirin,repurposing_candidate,8A2B,EGFR,L858R,-0.2,-5.21302,0.98822,0.66526,4.17682
2,aspirin,repurposing_candidate,8FMI,KRAS,WT,-0.29,-5.13811,0.96877,0.82152,4.14443
2,cimetidine,repurposing_candidate,3POZ,EGFR,WT,-0.02,-5.35865,2.32853,0.13387,5.23239
2,cimetidine,repurposing_candidate,4I24,EGFR,T790M,-0.57,-4.91589,0.94812,0.23469,5.16815
2,cimetidine,repurposing_candidate,4LDJ,KRAS,G12C,-0.78,-4.74435,1.87163,0.66303,4.84981
2,cimetidine,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.71,-4.29867,1.12194,0.16877,5.06174
